district_name,num_transactions,transaction_amount_rupees,year,state_name,quarter
kaithal district,959377,2945844252.9955387,2020,haryana,4
kurukshetra district,1721950,4141680049.095256,2020,haryana,4
jhajjar district,2429140,5544973431.463554,2020,haryana,4
yamunanagar district,102917,125333909.59597155,2018,haryana,1
sonipat district,178766,279804665.74758285,2018,haryana,1
jind district,117357,186842136.19643256,2018,haryana,1
rohtak district,121728,215207976.23801106,2018,haryana,1
faridabad district,521939,772738359.1903924,2018,haryana,1
mahendragarh district,89413,119624307.98030695,2018,haryana,1
hisar district,240517,355732765.75367296,2018,haryana,1
karnal district,169313,247718779.0667546,2018,haryana,1
fatehabad district,116455,105677674.30945694,2018,haryana,1
palwal district,97942,145340107.56054282,2018,haryana,1
charkhi dadri district,32910,49515979.82368229,2018,haryana,1
ambala district,119503,189250271.9381209,2018,haryana,1
rewari district,199418,280095218.8487885,2018,haryana,1
panchkula district,86298,142847688.49278012,2018,haryana,1
bhiwani district,125150,190361119.40027064,2018,haryana,1
sirsa district,164867,164313975.8712107,2018,haryana,1
mewat district,80255,132978792.61417456,2018,haryana,1
panipat district,183960,263054774.74491566,2018,haryana,1
gurugram district,1408070,2317083393.8960977,2018,haryana,1
kaithal district,98466,149686426.2181104,2018,haryana,1
kurukshetra district,110204,172343157.32717517,2018,haryana,1
jhajjar district,115322,187960033.84590232,2018,haryana,1
yamunanagar district,145792,222903345.7494049,2018,haryana,2
sonipat district,253130,475518495.4836759,2018,haryana,2
jind district,155618,316637352.4092227,2018,haryana,2
rohtak district,179677,372787270.2835766,2018,haryana,2
faridabad district,698865,1211325239.4669201,2018,haryana,2
mahendragarh district,120215,213293581.47763312,2018,haryana,2
hisar district,320500,627894549.2713584,2018,haryana,2
karnal district,224254,430353501.61753666,2018,haryana,2
fatehabad district,169161,203643680.86269987,2018,haryana,2
palwal district,128161,242183536.64887157,2018,haryana,2
charkhi dadri district,43322,88537038.62394696,2018,haryana,2
ambala district,180500,352994750.8908926,2018,haryana,2
rewari district,263194,453157049.1288283,2018,haryana,2
panchkula district,130924,264234229.40968552,2018,haryana,2
bhiwani district,167009,329873004.9319056,2018,haryana,2
sirsa district,234948,288080253.195745,2018,haryana,2
mewat district,115296,249716563.945022,2018,haryana,2
panipat district,265754,440169913.37038267,2018,haryana,2
gurugram district,1893511,3604758914.7352195,2018,haryana,2
kaithal district,142167,283466007.10194105,2018,haryana,2
kurukshetra district,153556,302704098.7344694,2018,haryana,2
jhajjar district,165377,346182064.7776333,2018,haryana,2
yamunanagar district,165095,320728121.92955375,2018,haryana,3
sonipat district,315829,689899150.946893,2018,haryana,3
jind district,186905,487064678.1780566,2018,haryana,3
rohtak district,242013,568546327.4827201,2018,haryana,3
faridabad district,1058983,1722572594.3324819,2018,haryana,3
mahendragarh district,145319,313539207.01478326,2018,haryana,3
hisar district,390428,961080725.8344725,2018,haryana,3
karnal district,282956,594890203.9680781,2018,haryana,3
fatehabad district,159967,308682508.9638707,2018,haryana,3
palwal district,173758,381999796.4721205,2018,haryana,3
charkhi dadri district,49278,120685428.87020168,2018,haryana,3
ambala district,233248,522223540.2280037,2018,haryana,3
rewari district,350599,643047741.7898455,2018,haryana,3
panchkula district,171066,391072983.2679684,2018,haryana,3
bhiwani district,207426,475078358.166042,2018,haryana,3
sirsa district,222321,409263123.8749541,2018,haryana,3
mewat district,138275,371454678.0918274,2018,haryana,3
panipat district,331409,660571357.2553346,2018,haryana,3
gurugram district,2877059,5115393851.988528,2018,haryana,3
kaithal district,149271,393148924.7561258,2018,haryana,3
kurukshetra district,195635,451182253.483242,2018,haryana,3
jhajjar district,215184,473013450.73230076,2018,haryana,3
yamunanagar district,216626,469237639.97114,2018,haryana,4
sonipat district,428989,1037340218.1738504,2018,haryana,4
jind district,259036,778822776.4793004,2018,haryana,4
rohtak district,300319,829370092.988213,2018,haryana,4
faridabad district,2271109,2832603200.576729,2018,haryana,4
mahendragarh district,211639,545441257.9905821,2018,haryana,4
hisar district,511206,1476103125.5799584,2018,haryana,4
karnal district,356327,883621789.4906831,2018,haryana,4
fatehabad district,203164,453801169.98377275,2018,haryana,4
palwal district,383775,672481291.542182,2018,haryana,4
charkhi dadri district,69055,210310441.2750916,2018,haryana,4
ambala district,313017,778868451.264339,2018,haryana,4
rewari district,535609,1038332553.8976262,2018,haryana,4
panchkula district,237408,563481852.1845164,2018,haryana,4
bhiwani district,267720,748611718.7064086,2018,haryana,4
sirsa district,290380,618718729.5792961,2018,haryana,4
mewat district,223048,658766830.3378227,2018,haryana,4
panipat district,427930,960831966.9902785,2018,haryana,4
gurugram district,4651606,7834266744.800947,2018,haryana,4
kaithal district,211975,600215099.0389218,2018,haryana,4
kurukshetra district,260273,658077491.6740903,2018,haryana,4
jhajjar district,319972,741571573.9301258,2018,haryana,4
anand district,3048076,5515844713.90881,2022,gujarat,1
jamnagar district,2155185,3995387220.064081,2022,gujarat,1
devbhumi dwarka district,577554,1393188002.3646598,2022,gujarat,1
rajkot district,5044420,11183107357.249798,2022,gujarat,1
aravallis district,1603295,3245867369.8418803,2022,gujarat,1
chhotaudepur district,469160,961037555.5333877,2022,gujarat,1
botad district,1089654,2529006396.9082165,2022,gujarat,1
bharuch district,7704075,12142511077.777298,2022,gujarat,1
bhavnagar district,2733486,6507151536.779606,2022,gujarat,1
junagadh district,1159000,2632740612.928868,2022,gujarat,1
mahesana district,5772191,12148997855.252472,2022,gujarat,1
the dangs district,199292,319930741.7016173,2022,gujarat,1
kheda district,2392631,4653031406.32455,2022,gujarat,1
surat district,31199368,60384509134.17688,2022,gujarat,1
porbandar district,368108,1041885112.1535248,2022,gujarat,1
gandhinagar district,8605006,14673670632.364445,2022,gujarat,1
panch mahals district,2317566,4354464949.808912,2022,gujarat,1
narmada district,590661,1028206703.2216127,2022,gujarat,1
gir somnath district,1311753,3149910594.0697384,2022,gujarat,1
valsad district,6673719,11065186874.369562,2022,gujarat,1
mahisagar district,634329,1400068532.0580125,2022,gujarat,1
sabar kantha district,3018096,5899494954.572109,2022,gujarat,1
tapi district,1479525,2625677244.2605915,2022,gujarat,1
vadodara district,14343830,22232541228.698692,2022,gujarat,1
banas kantha district,7973644,18279879154.011223,2022,gujarat,1
amreli district,1139593,2619535836.606331,2022,gujarat,1
ahmadabad district,79952986,140746136456.2987,2022,gujarat,1
dohad district,1492215,3303671729.6961093,2022,gujarat,1
navsari district,2558811,4448236738.077925,2022,gujarat,1
patan district,2676329,5505990582.930806,2022,gujarat,1
kachchh district,6493295,13234467234.409916,2022,gujarat,1
surendranagar district,1770045,4155739566.6631675,2022,gujarat,1
morbi district,2000248,5171017148.465556,2022,gujarat,1
anand district,3366969,5980713686.880918,2022,gujarat,2
jamnagar district,2577307,4428726322.515411,2022,gujarat,2
devbhumi dwarka district,699907,1553973410.0873568,2022,gujarat,2
rajkot district,6063252,12629937169.82262,2022,gujarat,2
aravallis district,1985375,3936343254.1726723,2022,gujarat,2
chhotaudepur district,554481,1118837886.278185,2022,gujarat,2
botad district,1319494,2481012650.813588,2022,gujarat,2
bharuch district,8898927,13524403306.877403,2022,gujarat,2
bhavnagar district,3280598,7203081678.4895935,2022,gujarat,2
junagadh district,1303634,2870016919.846751,2022,gujarat,2
mahesana district,6831581,13686497405.843655,2022,gujarat,2
the dangs district,242942,386904516.30286825,2022,gujarat,2
kheda district,2804743,5136552729.090972,2022,gujarat,2
surat district,37371820,68525386888.44026,2022,gujarat,2
porbandar district,451806,1247309372.061276,2022,gujarat,2
gandhinagar district,10158506,16650584409.353096,2022,gujarat,2
panch mahals district,2768107,4913162124.983287,2022,gujarat,2
narmada district,728214,1199594621.9613156,2022,gujarat,2
gir somnath district,1593762,3597900918.795203,2022,gujarat,2
valsad district,8033358,12554813235.04937,2022,gujarat,2
mahisagar district,787617,1679677472.3282216,2022,gujarat,2
sabar kantha district,3593785,6977672565.899878,2022,gujarat,2
tapi district,1783511,3029292345.32784,2022,gujarat,2
vadodara district,16566055,24927078678.274376,2022,gujarat,2
banas kantha district,9732655,20605533611.378273,2022,gujarat,2
amreli district,1320163,2813019600.3597517,2022,gujarat,2
ahmadabad district,96453555,161506106645.9494,2022,gujarat,2
dohad district,1809814,3896428797.800151,2022,gujarat,2
navsari district,3327016,5310124254.046915,2022,gujarat,2
patan district,3116746,6276857246.360606,2022,gujarat,2
kachchh district,7934471,15334005512.230762,2022,gujarat,2
surendranagar district,2087742,4713415151.499961,2022,gujarat,2
morbi district,2504883,6103036587.724854,2022,gujarat,2
anand district,3910410,6469350595.472251,2022,gujarat,3
jamnagar district,3714625,5733544044.074508,2022,gujarat,3
devbhumi dwarka district,918151,1779143512.572445,2022,gujarat,3
rajkot district,8053297,15206611341.200827,2022,gujarat,3
aravallis district,2236769,3920741952.595134,2022,gujarat,3
chhotaudepur district,545300,995504884.7700689,2022,gujarat,3
botad district,1433437,2591773863.872061,2022,gujarat,3
bharuch district,11270803,15949022077.719542,2022,gujarat,3
bhavnagar district,4568839,9041452290.515198,2022,gujarat,3
junagadh district,1537367,3043926124.6742277,2022,gujarat,3
mahesana district,6403784,12429803356.66823,2022,gujarat,3
the dangs district,254111,381893547.7480219,2022,gujarat,3
kheda district,3591066,5933588857.8341465,2022,gujarat,3
surat district,46500453,78304481289.11215,2022,gujarat,3
porbandar district,578802,1357830610.5275652,2022,gujarat,3
gandhinagar district,10879868,17098915693.48831,2022,gujarat,3
panch mahals district,2823294,4508411917.771397,2022,gujarat,3
narmada district,723343,1114771648.905864,2022,gujarat,3
gir somnath district,1406104,3027458849.11908,2022,gujarat,3
valsad district,9633288,13905599408.86188,2022,gujarat,3
mahisagar district,1122900,1986607331.6766155,2022,gujarat,3
sabar kantha district,3760015,6565494234.606799,2022,gujarat,3
tapi district,1473584,2258710020.370042,2022,gujarat,3
vadodara district,23318716,32733106034.525204,2022,gujarat,3
banas kantha district,11035119,22401495021.82648,2022,gujarat,3
amreli district,1325138,2656525026.780618,2022,gujarat,3
ahmadabad district,117574996,184255244712.72232,2022,gujarat,3
dohad district,2182542,3862273582.1736565,2022,gujarat,3
navsari district,2421727,3829182729.863163,2022,gujarat,3
patan district,3407916,6332131544.324939,2022,gujarat,3
kachchh district,9375781,16533683640.305622,2022,gujarat,3
surendranagar district,2522750,5153708091.863037,2022,gujarat,3
morbi district,2735437,6075514370.909432,2022,gujarat,3
anand district,4351503,7433779371.016341,2022,gujarat,4
jamnagar district,4945374,7625464587.433752,2022,gujarat,4
devbhumi dwarka district,910863,1848097499.2814002,2022,gujarat,4
rajkot district,9260831,17834314868.93695,2022,gujarat,4
aravallis district,2532438,4651225998.251141,2022,gujarat,4
chhotaudepur district,640222,1199597589.6415567,2022,gujarat,4
botad district,1634212,3051272765.4072547,2022,gujarat,4
bharuch district,15879527,22486941029.828552,2022,gujarat,4
bhavnagar district,5089277,10905403197.73602,2022,gujarat,4
junagadh district,2532155,4948034874.389366,2022,gujarat,4
mahesana district,7160396,14173625244.242264,2022,gujarat,4
the dangs district,317748,463583958.8647848,2022,gujarat,4
kheda district,3509944,6102744146.658854,2022,gujarat,4
surat district,52037142,85923991746.92255,2022,gujarat,4
porbandar district,615650,1513924726.4532723,2022,gujarat,4
gandhinagar district,12010565,19015449813.738018,2022,gujarat,4
panch mahals district,3308022,5455257544.003246,2022,gujarat,4
narmada district,846033,1308463852.7294803,2022,gujarat,4
gir somnath district,1671989,3731133998.415558,2022,gujarat,4
valsad district,11103340,15842261457.57137,2022,gujarat,4
mahisagar district,1619162,2861334019.0561805,2022,gujarat,4
sabar kantha district,4958012,8965673462.522814,2022,gujarat,4
tapi district,1635320,2610910573.8709135,2022,gujarat,4
vadodara district,20968443,30304178848.49663,2022,gujarat,4
banas kantha district,12352158,25179922289.863693,2022,gujarat,4
amreli district,1619039,3343832001.6098003,2022,gujarat,4
ahmadabad district,133174553,212037117715.34885,2022,gujarat,4
dohad district,2608983,4807410074.584564,2022,gujarat,4
navsari district,2509503,4046502522.5835347,2022,gujarat,4
patan district,3819745,7472645579.49339,2022,gujarat,4
kachchh district,9617702,17113433243.309341,2022,gujarat,4
surendranagar district,2537495,5716407620.510841,2022,gujarat,4
morbi district,3378672,7944369113.768206,2022,gujarat,4
anand district,7316186,11328282260.0,2024,gujarat,1
jamnagar district,9066965,11147113244.0,2024,gujarat,1
devbhumi dwarka district,2073920,3602425868.0,2024,gujarat,1
rajkot district,17046652,29191655098.0,2024,gujarat,1
aravallis district,7031315,10673400659.0,2024,gujarat,1
chhotaudepur district,1676367,2647702751.0,2024,gujarat,1
botad district,3673315,6883977650.0,2024,gujarat,1
bharuch district,29731992,33628152386.0,2024,gujarat,1
bhavnagar district,9138585,17582069211.0,2024,gujarat,1
junagadh district,3113159,6089877306.0,2024,gujarat,1
mahesana district,19982002,34099763013.0,2024,gujarat,1
the dangs district,855174,1113776052.0,2024,gujarat,1
kheda district,8563780,12367901309.0,2024,gujarat,1
surat district,105034339,136364429380.0,2024,gujarat,1
porbandar district,1135699,2673458019.0,2024,gujarat,1
gandhinagar district,31981660,42996191408.0,2024,gujarat,1
panch mahals district,7028756,9636858031.0,2024,gujarat,1
narmada district,2141452,2816162019.0,2024,gujarat,1
gir somnath district,3834347,7496777364.0,2024,gujarat,1
valsad district,26915777,31771393972.0,2024,gujarat,1
mahisagar district,2824323,4340123320.0,2024,gujarat,1
sabar kantha district,12025368,18557481997.0,2024,gujarat,1
tapi district,4186701,5947308759.0,2024,gujarat,1
vadodara district,38154382,44730428533.0,2024,gujarat,1
banas kantha district,40367961,67017735019.0,2024,gujarat,1
amreli district,3423737,6203791708.0,2024,gujarat,1
ahmadabad district,138618973,202027350496.0,2024,gujarat,1
dohad district,7924925,12021059561.0,2024,gujarat,1
navsari district,6157492,8695255189.0,2024,gujarat,1
patan district,11596973,19539830767.0,2024,gujarat,1
kachchh district,28520642,38337066197.0,2024,gujarat,1
surendranagar district,6651581,13269737693.0,2024,gujarat,1
morbi district,8782171,16820928685.0,2024,gujarat,1
anand district,8196390,11366128281.0,2024,gujarat,2
jamnagar district,10073749,11342650893.0,2024,gujarat,2
devbhumi dwarka district,2365657,3737000914.0,2024,gujarat,2
rajkot district,19838801,30859975152.0,2024,gujarat,2
aravallis district,8074072,11362893396.0,2024,gujarat,2
chhotaudepur district,1922724,2803187122.0,2024,gujarat,2
botad district,4977223,7553204401.0,2024,gujarat,2
bharuch district,33352178,34697652641.0,2024,gujarat,2
bhavnagar district,10688061,17969866970.0,2024,gujarat,2
junagadh district,3472812,6346070996.0,2024,gujarat,2
mahesana district,22895995,35987441959.0,2024,gujarat,2
the dangs district,938604,1208133646.0,2024,gujarat,2
kheda district,9984541,12877558232.0,2024,gujarat,2
surat district,116817747,138377829482.0,2024,gujarat,2
porbandar district,1317855,2859192346.0,2024,gujarat,2
gandhinagar district,36066761,45071516523.0,2024,gujarat,2
panch mahals district,8260755,10079307005.0,2024,gujarat,2
narmada district,2432785,2967401484.0,2024,gujarat,2
gir somnath district,4485698,7939601306.0,2024,gujarat,2
valsad district,30477361,33612898778.0,2024,gujarat,2
mahisagar district,3314717,4687177180.0,2024,gujarat,2
sabar kantha district,13684658,19925493955.0,2024,gujarat,2
tapi district,4665204,6147180440.0,2024,gujarat,2
vadodara district,42177608,46214118784.0,2024,gujarat,2
banas kantha district,47187704,71695240350.0,2024,gujarat,2
amreli district,4201781,6514345190.0,2024,gujarat,2
ahmadabad district,157085451,209800128254.0,2024,gujarat,2
dohad district,9109360,13129139495.0,2024,gujarat,2
navsari district,7078553,9246883871.0,2024,gujarat,2
patan district,13247777,20785293317.0,2024,gujarat,2
kachchh district,33288260,40535534738.0,2024,gujarat,2
surendranagar district,8056821,14326232931.0,2024,gujarat,2
morbi district,10657490,18598766901.0,2024,gujarat,2
anand district,5397666,9009210736.0,2023,gujarat,1
jamnagar district,4756337,7167434719.0,2023,gujarat,1
devbhumi dwarka district,1415994,2752477571.0,2023,gujarat,1
rajkot district,10331784,19918564828.0,2023,gujarat,1
aravallis district,4030723,6867703665.0,2023,gujarat,1
chhotaudepur district,1063601,1949399026.0,2023,gujarat,1
botad district,2614974,4334114751.0,2023,gujarat,1
bharuch district,17611455,23420620380.0,2023,gujarat,1
bhavnagar district,5891467,12426320689.0,2023,gujarat,1
junagadh district,2103076,4380773447.0,2023,gujarat,1
mahesana district,11768050,21693083051.0,2023,gujarat,1
the dangs district,525483,743925303.0,2023,gujarat,1
kheda district,5309300,8871328725.0,2023,gujarat,1
surat district,59319420,95572900783.0,2023,gujarat,1
porbandar district,781192,2010358003.0,2023,gujarat,1
gandhinagar district,19462874,28898357911.0,2023,gujarat,1
panch mahals district,4382750,6885930879.0,2023,gujarat,1
narmada district,1331119,2006640636.0,2023,gujarat,1
gir somnath district,2525075,5400719200.0,2023,gujarat,1
valsad district,15422170,21497483690.0,2023,gujarat,1
mahisagar district,1662680,3003221233.0,2023,gujarat,1
sabar kantha district,7019623,11873701987.0,2023,gujarat,1
tapi district,2629964,4183517799.0,2023,gujarat,1
vadodara district,25446746,33703262986.0,2023,gujarat,1
banas kantha district,20363171,39328998688.0,2023,gujarat,1
amreli district,2349744,4616129601.0,2023,gujarat,1
ahmadabad district,88124113,144675922269.0,2023,gujarat,1
dohad district,4195072,7548858403.0,2023,gujarat,1
navsari district,4107219,6361291325.0,2023,gujarat,1
patan district,6352036,11479571861.0,2023,gujarat,1
kachchh district,15804575,26116703929.0,2023,gujarat,1
surendranagar district,3921552,8632632976.0,2023,gujarat,1
morbi district,4490321,10495027756.0,2023,gujarat,1
anand district,5851772,9203602342.0,2023,gujarat,2
jamnagar district,5521568,7701542445.0,2023,gujarat,2
devbhumi dwarka district,1524055,2754024478.0,2023,gujarat,2
rajkot district,11886801,21473977466.0,2023,gujarat,2
aravallis district,4798591,7885461417.0,2023,gujarat,2
chhotaudepur district,1244113,2137462845.0,2023,gujarat,2
botad district,2813449,4652143736.0,2023,gujarat,2
bharuch district,20492081,25552850416.0,2023,gujarat,2
bhavnagar district,6951883,13318758008.0,2023,gujarat,2
junagadh district,2403109,4751272420.0,2023,gujarat,2
mahesana district,13635469,23684515815.0,2023,gujarat,2
the dangs district,619051,870841121.0,2023,gujarat,2
kheda district,6085143,9433647106.0,2023,gujarat,2
surat district,68998170,102075692702.0,2023,gujarat,2
porbandar district,883224,2116550620.0,2023,gujarat,2
gandhinagar district,22421756,31572312133.0,2023,gujarat,2
panch mahals district,5008744,7340222097.0,2023,gujarat,2
narmada district,1550920,2170877095.0,2023,gujarat,2
gir somnath district,2968910,6039493391.0,2023,gujarat,2
valsad district,17817488,23874686294.0,2023,gujarat,2
mahisagar district,1968493,3393183608.0,2023,gujarat,2
sabar kantha district,8082316,13228245431.0,2023,gujarat,2
tapi district,3071773,4542977182.0,2023,gujarat,2
vadodara district,28126951,36036104419.0,2023,gujarat,2
banas kantha district,23444277,42180609726.0,2023,gujarat,2
amreli district,2635417,4820975988.0,2023,gujarat,2
ahmadabad district,100889578,156288216607.0,2023,gujarat,2
dohad district,4873367,8161119377.0,2023,gujarat,2
navsari district,4720973,7128327894.0,2023,gujarat,2
patan district,7357468,12694378137.0,2023,gujarat,2
kachchh district,18170694,27688475605.0,2023,gujarat,2
surendranagar district,4699987,9385361251.0,2023,gujarat,2
morbi district,5404962,11249299353.0,2023,gujarat,2
anand district,6408690,9760222735.0,2023,gujarat,3
jamnagar district,6970886,8736838057.0,2023,gujarat,3
devbhumi dwarka district,1684259,2947663134.0,2023,gujarat,3
rajkot district,13691028,24000712020.0,2023,gujarat,3
aravallis district,5283849,8235714548.0,2023,gujarat,3
chhotaudepur district,1292249,2019847246.0,2023,gujarat,3
botad district,3128600,5946985902.0,2023,gujarat,3
bharuch district,23411273,27245590670.0,2023,gujarat,3
bhavnagar district,7587294,14822238664.0,2023,gujarat,3
junagadh district,2618213,5024678950.0,2023,gujarat,3
mahesana district,15541817,26723975165.0,2023,gujarat,3
the dangs district,706457,938441461.0,2023,gujarat,3
kheda district,6743015,9926923098.0,2023,gujarat,3
surat district,79742341,109145690441.0,2023,gujarat,3
porbandar district,943933,2166150109.0,2023,gujarat,3
gandhinagar district,26278985,35649946527.0,2023,gujarat,3
panch mahals district,5649552,7741547853.0,2023,gujarat,3
narmada district,1677672,2217044970.0,2023,gujarat,3
gir somnath district,3233669,6139462563.0,2023,gujarat,3
valsad district,20283176,25031461480.0,2023,gujarat,3
mahisagar district,2101699,3280701332.0,2023,gujarat,3
sabar kantha district,9131301,14174082993.0,2023,gujarat,3
tapi district,3327168,4468064211.0,2023,gujarat,3
vadodara district,32705182,39197795542.0,2023,gujarat,3
banas kantha district,27740530,49573677952.0,2023,gujarat,3
amreli district,2905887,5235380088.0,2023,gujarat,3
ahmadabad district,116119081,173450994467.0,2023,gujarat,3
dohad district,5730710,8613385702.0,2023,gujarat,3
navsari district,5025791,7075895376.0,2023,gujarat,3
patan district,8440368,14321658314.0,2023,gujarat,3
kachchh district,21522506,30415694275.0,2023,gujarat,3
surendranagar district,5252147,10351069125.0,2023,gujarat,3
morbi district,6424262,13157501480.0,2023,gujarat,3
anand district,6867174,10771235167.0,2023,gujarat,4
jamnagar district,7924852,10107628547.0,2023,gujarat,4
devbhumi dwarka district,1886630,3368627792.0,2023,gujarat,4
rajkot district,15005682,26723191144.0,2023,gujarat,4
aravallis district,6108994,9664540943.0,2023,gujarat,4
chhotaudepur district,1563239,2358569105.0,2023,gujarat,4
botad district,3323009,6193409411.0,2023,gujarat,4
bharuch district,26006725,30590024824.0,2023,gujarat,4
bhavnagar district,8495955,16920246054.0,2023,gujarat,4
junagadh district,2943946,5887944270.0,2023,gujarat,4
mahesana district,17716518,30965776190.0,2023,gujarat,4
the dangs district,798365,1026115733.0,2023,gujarat,4
kheda district,7535302,11159583601.0,2023,gujarat,4
surat district,89306058,121540678231.0,2023,gujarat,4
porbandar district,1018034,2408521508.0,2023,gujarat,4
gandhinagar district,28600724,39542236594.0,2023,gujarat,4
panch mahals district,6384966,8825996905.0,2023,gujarat,4
narmada district,1960220,2551505964.0,2023,gujarat,4
gir somnath district,3604683,7178241759.0,2023,gujarat,4
valsad district,23727240,28875069638.0,2023,gujarat,4
mahisagar district,2486374,3911148107.0,2023,gujarat,4
sabar kantha district,10465428,16753741150.0,2023,gujarat,4
tapi district,3898373,5350667233.0,2023,gujarat,4
vadodara district,35268395,42648582739.0,2023,gujarat,4
banas kantha district,32777092,56428699466.0,2023,gujarat,4
amreli district,3231522,5994626087.0,2023,gujarat,4
ahmadabad district,125267617,190761203190.0,2023,gujarat,4
dohad district,6834880,10338663849.0,2023,gujarat,4
navsari district,5667795,8043463428.0,2023,gujarat,4
patan district,9984379,17353830621.0,2023,gujarat,4
kachchh district,24314313,34220033958.0,2023,gujarat,4
surendranagar district,5854706,11997980078.0,2023,gujarat,4
morbi district,7286388,14625415788.0,2023,gujarat,4
anand district,653012,784555584.5080343,2019,gujarat,1
jamnagar district,359824,549291108.7887383,2019,gujarat,1
devbhumi dwarka district,91088,153486918.9480818,2019,gujarat,1
rajkot district,709607,1144098817.8193035,2019,gujarat,1
aravallis district,159845,204617220.15105847,2019,gujarat,1
chhotaudepur district,45581,69194916.05947445,2019,gujarat,1
botad district,199203,155914084.97123998,2019,gujarat,1
bharuch district,926374,1330716993.7382002,2019,gujarat,1
bhavnagar district,592732,696258524.4471675,2019,gujarat,1
junagadh district,150708,216800157.42993787,2019,gujarat,1
mahesana district,899763,1021313511.4526356,2019,gujarat,1
the dangs district,19568,18627644.29669226,2019,gujarat,1
kheda district,379687,445903742.8578031,2019,gujarat,1
surat district,3283182,5664609103.880555,2019,gujarat,1
porbandar district,54684,101598902.70628664,2019,gujarat,1
gandhinagar district,1244457,1559852035.3782334,2019,gujarat,1
panch mahals district,257869,301203291.8803916,2019,gujarat,1
narmada district,58399,85405632.81124759,2019,gujarat,1
gir somnath district,138776,226079479.8894506,2019,gujarat,1
valsad district,750124,983591069.6663814,2019,gujarat,1
mahisagar district,76233,118065255.3934778,2019,gujarat,1
sabar kantha district,333162,419328099.1049222,2019,gujarat,1
tapi district,91479,133128481.20662865,2019,gujarat,1
vadodara district,1655864,2706612327.0766125,2019,gujarat,1
banas kantha district,805139,1054321489.3685758,2019,gujarat,1
amreli district,203985,276798873.9080144,2019,gujarat,1
ahmadabad district,7894660,10956007756.562977,2019,gujarat,1
dohad district,109362,194577548.24536207,2019,gujarat,1
navsari district,1112006,1853217634.4572105,2019,gujarat,1
patan district,386337,424462288.43225765,2019,gujarat,1
kachchh district,895127,1364193288.246049,2019,gujarat,1
surendranagar district,262050,311129095.2153812,2019,gujarat,1
morbi district,191564,331119429.57845145,2019,gujarat,1
anand district,484273,709119537.7817588,2019,gujarat,2
jamnagar district,316899,592164920.0962113,2019,gujarat,2
devbhumi dwarka district,78499,155560968.6583895,2019,gujarat,2
rajkot district,724751,1400871094.6495595,2019,gujarat,2
aravallis district,143867,227325626.31180274,2019,gujarat,2
chhotaudepur district,46321,84888446.62520267,2019,gujarat,2
botad district,149057,166584407.46578306,2019,gujarat,2
bharuch district,747899,1317325972.015126,2019,gujarat,2
bhavnagar district,484097,717336260.2716311,2019,gujarat,2
junagadh district,138117,240011002.85565147,2019,gujarat,2
mahesana district,715052,1095164063.6523905,2019,gujarat,2
the dangs district,19973,23073707.04186769,2019,gujarat,2
kheda district,320063,457968237.34213334,2019,gujarat,2
surat district,3047988,6016899815.178611,2019,gujarat,2
porbandar district,53378,115280306.6010556,2019,gujarat,2
gandhinagar district,1205404,1791763499.6818066,2019,gujarat,2
panch mahals district,208444,316294392.79472125,2019,gujarat,2
narmada district,52784,88669390.67203797,2019,gujarat,2
gir somnath district,129149,241920660.5921904,2019,gujarat,2
valsad district,623926,1022853264.5995276,2019,gujarat,2
mahisagar district,75377,141056088.12591818,2019,gujarat,2
sabar kantha district,282442,470262635.302694,2019,gujarat,2
tapi district,91641,143551067.8237598,2019,gujarat,2
vadodara district,1717964,3251133813.8582134,2019,gujarat,2
banas kantha district,642084,1108185173.7200396,2019,gujarat,2
amreli district,174714,282379858.4829684,2019,gujarat,2
ahmadabad district,11689965,19024891336.636116,2019,gujarat,2
dohad district,100236,209828791.75933334,2019,gujarat,2
navsari district,3136644,5394071895.487188,2019,gujarat,2
patan district,306486,445014674.0740333,2019,gujarat,2
kachchh district,688449,1389719506.4029193,2019,gujarat,2
surendranagar district,215183,342155248.99469405,2019,gujarat,2
morbi district,170716,337289553.7122574,2019,gujarat,2
anand district,955946,948614191.2624347,2019,gujarat,3
jamnagar district,418571,678420908.0813576,2019,gujarat,3
devbhumi dwarka district,109620,187719710.83933586,2019,gujarat,3
rajkot district,1022919,1587889777.799852,2019,gujarat,3
aravallis district,210189,262414303.98607105,2019,gujarat,3
chhotaudepur district,61668,92575348.45446932,2019,gujarat,3
botad district,232943,190049304.40128577,2019,gujarat,3
bharuch district,1040617,1624510953.9967766,2019,gujarat,3
bhavnagar district,724401,857318691.0133656,2019,gujarat,3
junagadh district,200701,276244464.0126623,2019,gujarat,3
mahesana district,1012086,1334187013.0348892,2019,gujarat,3
the dangs district,26638,28637120.169418044,2019,gujarat,3
kheda district,571200,600186021.9814049,2019,gujarat,3
surat district,4447301,7371726681.306206,2019,gujarat,3
porbandar district,70391,131391520.3156455,2019,gujarat,3
gandhinagar district,1850642,2359920414.1180134,2019,gujarat,3
panch mahals district,265741,372599835.77697986,2019,gujarat,3
narmada district,73335,108815184.7037895,2019,gujarat,3
gir somnath district,169575,268990041.70831114,2019,gujarat,3
valsad district,823075,1217502133.5696769,2019,gujarat,3
mahisagar district,92788,147734027.57601643,2019,gujarat,3
sabar kantha district,422296,565151924.857582,2019,gujarat,3
tapi district,124784,453273908.54554343,2019,gujarat,3
vadodara district,2407408,3950547763.5697803,2019,gujarat,3
